country_name,national_day,description
日本,02-11,建国記念の日(紀元前660年、記紀における初代天皇である神武天皇が即位したとされる日：旧暦1月1日)
アメリカ,07-04,独立記念日
フランス,07-14,革命記念日
キューバ,01-01,革命記念日
スーダン,01-01,独立記念日
ハイチ,01-01,独立記念日
インド,01-26,共和国記念日
オーストラリア,01-26,オーストラリアの日
ナウル,01-31,独立記念日
日本,02-11,建国記念の日
スリランカ,02-04,独立記念日
ニュージーランド,02-06,ワイタンギの日
グレナダ,02-07,独立記念日
バチカン市国,02-11,ラテラノ条約締結記念日
セルビア,02-15,建国記念日
リトアニア,02-16,独立宣言記念日
ガンビア,02-18,独立記念日
ガイアナ,02-23,共和国記念日
日本,02-23,天皇誕生日
ブルネイ,02-23,建国記念日
エストニア,02-24,独立宣言記念日
クウェート,02-25,首長就位記念日
ドミニカ共和国,02-27,共和国記念日
ブルガリア,03-03,民族解放記念日
ガーナ,03-06,独立記念日
モーリシャス,03-12,独立記念日
ハンガリー,03-15,1848年の革命と自由戦争記念日
アイルランド,03-17,聖パトリックの日
チュニジア,03-20,独立記念日
ナミビア,03-21,独立記念日
パキスタン,03-23,パキスタンの日
ギリシャ,03-25,独立記念日
バングラデシュ,03-26,独立記念日
セネガル,04-04,独立記念日
チャド,04-13,国民の日
デンマーク,04-16,国王誕生日
シリア,04-17,独立記念日
ジンバブエ,04-18,独立記念日
タンザニア,04-26,連合記念日
オランダ,04-27,国王誕生日
シエラレオネ,04-27,独立記念日
トーゴ,04-27,独立記念日
南アフリカ共和国,04-27,自由の日
マーシャル諸島,05-01,建国記念日
ポーランド,05-03,憲法記念日
欧州連合,05-09,ヨーロッパの日
パラグアイ,05-15,独立記念日
ノルウェー,05-17,憲法記念日
カメルーン,05-20,統一記念日
東ティモール,05-20,独立記念日
イエメン,05-22,統一記念日
エリトリア,05-24,独立記念日
アルゼンチン,05-25,革命記念日
ヨルダン,05-25,独立記念日
ジョージア,05-26,独立記念日
アゼルバイジャン,05-28,共和国記念日
アルメニア,05-28,共和国の日
エチオピア,05-28,革命記念日
サモア,06-01,独立記念日
イタリア,06-02,共和国宣言記念日
トンガ,06-04,解放記念日
スウェーデン,06-06,国旗記念日
ポルトガル,06-10,ポルトガルの日
フィリピン,06-12,独立記念日
ロシア,06-12,ロシア独立記念日
アイスランド,06-17,独立記念日
セーシェル,06-18,建国の日
ルクセンブルク,06-23,大公公式誕生日
クロアチア,06-25,国家の日
スロベニア,06-25,建国記念日
モザンビーク,06-25,独立記念日
マダガスカル,06-26,独立記念日
ジブチ,06-27,独立記念日
コンゴ民主共和国,06-30,独立記念日
イギリス,06-第3土曜日,国王公式誕生日
カナダ,07-01,カナダの日
ソマリア,07-01,建国記念日
ブルンジ,07-01,独立記念日
ルワンダ,07-01,独立記念日
ベラルーシ,07-03,独立記念日
アメリカ合衆国,07-04,独立記念日
ベネズエラ,07-05,独立記念日
コモロ,07-06,独立記念日
マラウイ,07-06,共和国記念日
ソロモン諸島,07-07,独立記念日
パラオ,07-09,憲法記念日
バハマ,07-10,独立記念日
モンゴル,07-11,独立記念日
キリバス,07-12,独立記念日
サントメ・プリンシペ,07-12,独立記念日
モンテネグロ,07-13,国家の日
フランス,07-14,フランス革命記念日
イラク,07-17,革命記念日
コロンビア,07-20,独立記念日
ベルギー,07-21,建国記念日
エジプト,07-23,革命記念日
リベリア,07-26,独立記念日
ペルー,07-28,独立記念日
バヌアツ,07-30,独立記念日
モロッコ,07-30,国王即位記念日
スイス,08-01,建国記念日
ベナン,08-01,国家の日
ブルキナファソ,08-04,人民共和国発足記念日
ボリビア,08-06,独立記念日
コートジボワール,08-07,独立記念日
シンガポール,08-09,独立記念日
エクアドル,08-10,独立記念日
パキスタン,08-14,独立記念日
インド,08-15,独立記念日
コンゴ共和国,08-15,独立記念日
リヒテンシュタイン,08-15,建国記念日
ドミニカ共和国,08-16,再興記念日
インドネシア,08-17,独立記念日
ガボン,08-17,独立記念日
アフガニスタン,08-19,独立記念日
ハンガリー,08-20,建国記念日
ウクライナ,08-24,独立宣言記念日
ウルグアイ,08-25,独立記念日
モルドバ,08-27,独立記念日
スロバキア,08-29,スロバキア国民蜂起記念日
キルギス,08-31,独立記念日
トリニダード・トバゴ,08-31,独立記念日
マレーシア,08-31,独立記念日
ジャマイカ,08-第1月曜日,独立記念日
ウズベキスタン,09-01,独立記念日
スロバキア,09-01,憲法記念日
リビア,09-01,革命記念日
ベトナム,09-02,国慶節
サンマリノ,09-03,共和国創立記念日
エスワティニ,09-06,独立記念日
ブラジル,09-07,独立記念日
アンドラ,09-08,国家の日
北マケドニア,09-08,独立記念日
北朝鮮,09-09,共和国創建記念日
タジキスタン,09-09,独立記念日
ベリーズ,09-10,英・スペイン戦記念日
エルサルバドル,09-15,独立記念日
グアテマラ,09-15,独立記念日
コスタリカ,09-15,独立記念日
ニカラグア,09-15,独立記念日
ホンジュラス,09-15,独立記念日
パプアニューギニア,09-16,独立記念日
メキシコ,09-16,独立記念日
チリ,09-18,独立記念日
セントクリストファー・ネイビス,09-19,独立記念日
ベリーズ,09-21,独立記念日
マルタ,09-21,独立記念日
マリ共和国,09-22,独立記念日
サウジアラビア,09-23,建国記念日
ギニアビサウ,09-24,共和国創立記念日
ボツワナ,09-30,独立記念日
キプロス,10-01,独立記念日
中華人民共和国,10-01,中華人民共和国国慶節
ツバル,10-01,ツバルの日
ナイジェリア,10-01,独立記念日
ギニア,10-02,独立記念日
韓国,10-03,開天節
ドイツ,10-03,ドイツ統一の日
レソト,10-04,独立記念日
ウガンダ,10-09,独立記念日
中華民国,10-10,中華民国国慶日
スペイン,10-12,イスパニアの日
赤道ギニア,10-12,独立記念日
中央アフリカ共和国,10-12,独立記念日
ハンガリー,10-23,革命記念日
ザンビア,10-24,独立記念日
カザフスタン,10-25,独立記念日
オーストリア,10-26,建国記念日
セントビンセント・グレナディーン,10-27,独立記念日
トルクメニスタン,10-27,独立記念日
チェコ,10-28,独立記念日
トルコ,10-29,共和国記念日
フィジー,10-第2月曜日,フィジーの日
アルジェリア,11-01,革命記念日
アンティグア・バーブーダ,11-01,独立記念日
ドミニカ国,11-03,独立記念日
パナマ,11-03,独立記念日
ミクロネシア連邦,11-03,独立記念日
カンボジア,11-09,独立記念日
アンゴラ,11-11,独立記念日
ポーランド,11-11,独立記念日
パレスチナ解放機構,11-15,独立宣言記念日
オマーン,11-18,建国記念日
ラトビア,11-18,独立記念日
モナコ,11-19,国家の日
レバノン,11-22,独立記念日
スリナム,11-25,独立記念日
アルバニア,11-28,独立宣言記念日
モーリタニア,11-28,独立記念日
バルバドス,11-30,独立記念日
ルーマニア,12-01,革命記念日
アラブ首長国連邦,12-02,建国記念日
ラオス,12-02,人民民主共和国建国記念日
タイ,12-05,国王誕生日
フィンランド,12-06,独立記念日
ケニア,12-12,独立記念日
セントルシア,12-13,セントルシアの日
バーレーン,12-16,国家の日
ブータン,12-17,国王即位記念日
カタール,12-18,独立記念日
ニジェール,12-18,共和国の日
